Course Name,Depts,Subject,Course Num,Title,Crs Cred Type ,Crs Min Cred ,Terms Offered
AFRST-359,AFRST,AFRST,359,HISTORY OF JAZZ SINCE THE 1950'S,I,1,"25/SP
18/SP
17/SP"
AFRST-372,AFRST,AFRST,372,UNRAVELING CLEOPATRA,I,1,"25/FA
24/FA
23/FA"
AFRST-372W,AFRST,AFRST,372W,UNRAVELING CLEOPATRA,I,1,"20/FA
19/FA
19/SP
18/SP
17/SP
16/SP
15/SP
14/SP
11/SP
10/SP
08/SP
07/SP
06/SP"
AFRST-376W,AFRST,AFRST,376W,AFRICAN LIT & CRIT DISCOURSE,I,1,"22/FA
09/FA
08/FA
07/SP
06/SP
04/FA
03/FA"
AFRST-378W,AFRST,AFRST,378W,AFR/AMER LIT BEYOND EDGE,I,1,"25/FA
24/FA
22/SP
21/SP
20/SP
19/SP
18/SP
17/SP
09/FA
05/FA
04/FA"
AFRST-380,AFRST,AFRST,380,SEMINAR GLOBAL BLACK REBELLIONS,I,1,"25/SP
24/SP
23/SP
22/SP
21/SP
20/FA
19/FA"
AFRST-382W,AFRST,AFRST,382W,GLOBAL AFRICAN SOCIAL MOVEMENT,I,1,"20/SP
19/SP
18/SP
17/SP
16/SP
15/SP
14/SP
13/SP
12/SP
11/SP
10/SP
09/SP"
AFRST-391,AFRST,AFRST,391,RESISTANCE CARIBBEAN LIT,I,1,"20/FA
19/FA"
AFRST-402,AFRST,AFRST,402,FEMINIST THRY & PRACT:TRANSTL FEMINISMS,I,1,"23/SP
22/SP
04/FA
04/SP
03/FA
02/FA"
AFRST-405,AFRST,AFRST,405,SEMINAR: BLACK FEMINIST THOUGHT,I,1,"25/SP
22/FA
21/FA
20/FA
19/FA
18/FA
17/FA
16/FA
15/FA
15/SP
14/SP
13/SP
10/SP
08/SP
07/SP
06/SP
02/FA
01/FA
00/SP
97/SP"
AFRST-462,AFRST,AFRST,462,SEMINAR: CRITICAL VOICE,I,1,"25/FA
24/FA
23/FA
22/SP
21/SP"
AFRST-473,AFRST,AFRST,473,SEM MAJOR AFRICAN WRITERS,I,1,"22/FA
21/FA
20/FA"
AFRST-474,AFRST,AFRST,474,SEM: MAJOR AFR-AMER WRITERS,I,1,20/SP
AFRST-491,AFRST,AFRST,491,RESISTANCE CARIBBEAN LIT,I,1,"25/FA
24/FA"
AFRST-549,AFRST,AFRST,549,SENIOR SEMINAR IN AFRICANA STUDIES,I,1,"25/FA
25/SP
24/FA
23/FA
23/SP
22/FA
22/SP
21/FA
21/SP
20/FA
19/FA
18/FA
17/FA
16/FA
15/FA
14/FA
13/FA
12/FA
11/FA"
AFRST-550,AFRST,AFRST,550,SENIOR PROGRAM,I,1,"25/SP
24/SP
23/SP
22/FA
22/SP
21/FA
21/SP
20/SP
19/SP
18/SP
17/SP
16/SP
15/SP
14/SP
13/SP
12/SP
11/FA
11/SP
10/FA
10/SP
09/FA
08/FA
08/SP
07/FA
07/SP
06/FA
06/SP
05/FA
05/SP
04/FA
04/SP
03/FA
03/SP
02/FA
02/SP
01/FA
01/SP
00/FA
99/FA"
AMST-101W,AMST,AMST,101W,INTRODUCTION TO AMERICAN STUDIES,I,1,"22/SP
20/SP
19/SP
18/SP
17/SP
16/SP
15/SP
14/SP"
AMST-105,AMST,AMST,105,INTRODUCTION TO NATIVE AMERICAN STUDIES,I,1,"25/SP
24/SP"
AMST-117,AMST,AMST,117,ROOTS MUSIC TO ROOTS COUNTRY MUSIC,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
23/SP
22/FA
22/SP
21/FA
21/SP
20/FA
20/SP
19/FA
19/SP
18/FA
18/SP
17/FA
16/FA"
AMST-118,AMST,AMST,118,THE BROADWAY MUSICAL,I,1,"25/FA
24/FA
23/FA
22/FA"
AMST-125,AMST,AMST,125,INTRO TO THE HISTORY & THEORY NEW MEDIA,I,1,"13/SP
12/SP
11/FA
10/FA
09/FA"
AMST-128,AMST,AMST,128,INDIGENOUS LIFEWAYS,I,1,"25/FA
24/FA
23/FA"
AMST-129W,AMST,AMST,129W,NATIVE AMERICAN SPIRITUALITIES,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
23/SP
22/FA
21/FA
20/FA
19/FA
19/SP
18/FA
18/SP
17/FA
17/SP
16/FA
15/FA
14/FA"
AMST-133,AMST,AMST,133,AMERICAN FREEDOM AND RELIGIOUS THOUGHT,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
23/SP"
AMST-133W,AMST,AMST,133W,AMERICAN FREEDOM & RELIGIOUS THOUGHT,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA"
AMST-150,AMST,AMST,150,HAMILTON COLLEGE AND SOCIAL JUSTICE,I,1,"25/SP
24/SP
23/SP
22/SP"
AMST-202,AMST,AMST,202,INTRO ASIAN-AMER STUDIES,I,1,"09/FA
08/FA
07/FA"
AMST-203,AMST,AMST,203,AMERICAN PILGRIMAGES,I,1,"25/FA
24/FA
23/FA"
AMST-205W,AMST,AMST,205W,VIDEO GAME NATION,I,1,"11/FA
10/FA"
AMST-214W,AMST,AMST,214W,QUEER LITERATURE & FILM,I,1,"17/FA
16/FA"
AMST-217,AMST,AMST,217,ROOTS TO COUNTRY MUSIC,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
23/SP
22/FA
22/SP
21/FA
21/SP
20/FA"
AMST-218,AMST,AMST,218,THE BROADWAY MUSICAL,I,1,"25/FA
24/FA
23/FA
22/FA"
AMST-239,AMST,AMST,239,NATIVE AMERICAN RELIGIOUS FREEDOM,I,1,"25/SP
24/SP"
AMST-239W,AMST,AMST,239W,NATIVE AMERICAN RELIGIOUS FREEDOM,I,1,"25/SP
24/SP
23/SP
22/SP
21/SP
20/SP
19/SP
18/SP
17/SP
16/SP
15/SP"
AMST-245,AMST,AMST,245,MUSIC IN AMERICAN FILM,I,1,"25/SP
24/SP
23/SP
22/SP
21/SP
20/SP
19/SP
18/SP
17/FA
17/SP
16/FA
16/SP
15/SP
14/SP
13/SP
12/SP"
AMST-266,AMST,AMST,266,MEDIA & SOC AMER HIST,I,1,
AMST-283,AMST,AMST,283,INTRODUCTION ASIAN-AMERICAN LITERATURE,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
20/FA
18/FA
17/FA
16/FA
14/FA
13/FA"
AMST-310,AMST,AMST,310,SEMINAR: INDIGENOUS ECOLOGIES,I,1,"25/SP
24/SP
23/SP
22/SP
21/SP
20/SP"
AMST-311W,AMST,AMST,311W,BLACK WOMEN'S EXPERIENCE IN THE U.S.,I,1,"17/FA
16/FA"
AMST-325,AMST,AMST,325,MEDIA THEORY & VISUAL CULTURE,I,1,"12/SP
11/SP
10/SP"
AMST-330,AMST,AMST,330,DIGITIAL HISTORY AND NEW MEDIA:THEORIES,I,1,13/SP
AMST-342,AMST,AMST,342,20 & 21 CENTURY AMERICAN PRISON WRITING,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
20/FA
19/FA
17/FA
16/FA
15/FA
14/FA
13/FA
12/FA
11/FA"
AMST-345,AMST,AMST,345,MUSIC IN AMERICAN FILM,I,1,"25/SP
24/SP
23/SP
22/SP
21/SP
20/SP
19/SP
18/SP
17/FA
16/FA
16/SP"
AMST-350,AMST,AMST,350,GENDER & CYBERCULTURE,I,1,"11/SP
10/SP"
AMST-410,AMST,AMST,410,AMERICAN PHILOSOPHY,I,1,"25/FA
24/FA
22/FA
21/FA
20/FA"
AMST-420,AMST,AMST,420,SEMINAR IN AMERICAN STUDIES,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
20/FA
18/SP
17/SP
16/SP
15/FA
15/SP
14/FA
14/SP
13/SP
12/SP
11/SP
10/SP
08/SP"
AMST-500,AMST,AMST,500,SENIOR PROJECT,I,1,"25/SP
24/SP
23/SP
22/SP
21/SP
20/SP
19/SP
18/SP
89/SP
88/FA"
AMST-550,AMST,AMST,550,HONORS THESIS,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
23/SP
22/SP
21/SP
20/SP
19/FA
19/SP
18/FA
18/SP
17/FA
17/SP
16/FA
16/SP
15/FA
15/SP
14/FA
14/SP
13/FA
13/SP
12/FA
12/SP
11/FA
11/SP
10/FA
10/SP
09/FA
08/FA
08/SP
07/FA
07/SP
06/SP
05/SP
04/SP
03/SP
02/SP
01/SP
00/SP
99/FA
99/SP
98/FA
98/SP
97/FA
97/SP
96/FA
96/SP
95/FA
95/SP
94/FA
94/SP
93/FA
93/SP
89/SP
88/FA"
ANTHR-113,ANTHR,ANTHR,113,PRINCIPLES OF SOCIAL & CULTURAL ANTHR,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
23/SP
22/FA
22/SP
21/FA
21/SP
20/FA
20/SP
19/FA
19/SP
18/FA
18/SP
17/FA
17/SP
16/FA
16/SP
15/FA
15/SP
14/FA
14/SP
13/FA
13/SP
12/FA
12/SP
11/FA
10/FA
10/SP
09/FA
08/FA
08/SP
07/FA
07/SP
06/FA
05/FA
04/FA
03/FA
02/FA
01/FA
00/FA
99/FA
98/FA
97/FA
96/FA
95/FA
94/FA
93/FA
93/SP
89/SP
88/FA"
ANTHR-121,ANTHR,ANTHR,121,"HUMOR: CULTURE, INTERACTION & POLITICS",I,1,"18/FA
17/FA
16/FA"
ANTHR-200,ANTHR,ANTHR,200,STUFF:MATERIALITY&INEQUALITY,I,1,"25/FA
25/SP
24/FA
24/SP
23/SP
22/SP
21/SP
20/SP
19/SP
18/SP"
ANTHR-201W,ANTHR,ANTHR,201W,BRIEF HISTORY LINGUISTIC THEORY,I,1,"19/SP
18/SP
17/SP
16/SP
15/SP
14/SP
12/FA
11/FA"
ANTHR-204,ANTHR,ANTHR,204,GLOBALIZATION AND THE CITY,I,1,"20/FA
19/FA
19/SP
18/FA
17/FA"
ANTHR-207W,ANTHR,ANTHR,207W,THE UNIVERSITY,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
20/FA"
ANTHR-215,ANTHR,ANTHR,215,ANTHROPOLOGY OF MUSLIM YOUTH,I,1,"21/SP
20/SP
19/FA
18/FA
17/FA"
ANTHR-218,ANTHR,ANTHR,218,SOUTHEAST ASIA IN UTICA,I,1,25/SP
ANTHR-225,ANTHR,ANTHR,225,PHONETICS&PHONOLOGY,I,1,"18/SP
17/SP
16/SP
15/SP
14/SP
13/SP
12/SP
11/SP
10/SP
09/SP
07/SP
06/SP
04/SP
03/SP
00/SP
97/FA
95/FA
94/SP
93/SP
89/SP
88/FA"
ANTHR-233,ANTHR,ANTHR,233,ANTHROPOLOGY OF CHINA,I,1,"25/FA
25/SP
24/FA
23/FA
23/SP
22/SP
21/FA
20/FA
20/SP
19/FA
19/SP
18/FA
18/SP
17/FA
17/SP
16/FA
15/FA"
ANTHR-234,ANTHR,ANTHR,234,COMMUNICATION & CULTURE,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
23/SP
22/FA
22/SP
21/SP
20/SP
19/SP
18/SP"
ANTHR-236,ANTHR,ANTHR,236,UNDERSTANDING INDIGENEITY GLOBAL CONTEX,I,1,25/SP
ANTHR-237W,ANTHR,ANTHR,237W,INDIGENOUS LANGUAGE REVITILIZATION,I,1,"18/SP
17/SP
16/SP
15/SP"
ANTHR-238,ANTHR,ANTHR,238,"POWER, POLITICS & PROTEST",I,1,
ANTHR-257,ANTHR,ANTHR,257,"LANG,GENDER & SEXUALITY",I,1,"21/FA
20/FA
19/FA
18/FA
13/FA
12/FA
11/FA
10/SP
09/FA
08/FA
08/SP
07/SP"
ANTHR-259,ANTHR,ANTHR,259,DIGITAL TECHNOLOGY & SOCIAL TRANSFORMAT,I,1,"25/SP
19/SP
18/SP
17/FA
17/SP
16/FA
16/SP
15/SP"
ANTHR-261,ANTHR,ANTHR,261,INTRODUCTION TO PERFORMANCE STUDIES,I,1,"19/SP
18/SP
14/SP"
ANTHR-263,ANTHR,ANTHR,263,POLITICAL ECOLOGY OF TOURISM,I,1,"19/SP
18/SP
15/FA
14/FA"
ANTHR-264W,ANTHR,ANTHR,264W,ETHNOGRAPHY OF LITERARCY & VISUAL LANG,I,1,"23/SP
22/SP
18/FA
18/SP
17/FA
16/FA
16/SP
15/SP
13/FA
12/FA
12/SP
11/SP"
ANTHR-270W,ANTHR,ANTHR,270W,THE ETHNOGRAPHY OF COMMUNICATION,I,1,"25/SP
24/SP
17/SP
16/SP
14/FA
14/SP
13/FA
13/SP
12/SP
11/FA
10/FA
10/SP
09/FA
07/FA
05/FA
04/FA
03/FA
02/FA
01/FA
00/FA
99/FA
98/FA
97/FA
96/FA
95/FA
94/FA"
ANTHR-271W,ANTHR,ANTHR,271W,LANGUAGE AND POWER,I,1,"25/SP
24/SP
23/SP"
ANTHR-272W,ANTHR,ANTHR,272W,ANTHROPOLOGY OF FOOD,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
19/FA
19/SP
18/SP
17/SP"
ANTHR-281,ANTHR,ANTHR,281,ANTHROPOLOGY OF SOCIAL MEDIA,I,1,"21/SP
20/SP"
ANTHR-303,ANTHR,ANTHR,303,AGENCY & VOICE,I,1,"23/SP
22/SP"
ANTHR-305,ANTHR,ANTHR,305,THE SOCIAL POLITICS OF DISASTER,I,1,"22/SP
21/SP"
ANTHR-309,ANTHR,ANTHR,309,EDUCATION & RACIALIZATION GLOBAL CONTEX,I,1,"25/SP
23/SP
22/SP
21/SP"
ANTHR-310,ANTHR,ANTHR,310,CROSSINGS & TRANSGRESSIONS,I,1,"22/FA
21/FA
20/SP
19/SP
18/SP"
ANTHR-311,ANTHR,ANTHR,311,YOUTH & CULTURAL REPRODUCTION,I,1,"13/FA
12/FA
11/FA"
ANTHR-312,ANTHR,ANTHR,312,Food Justice in the Mohawk Valley,I,1,"23/SP
22/SP"
ANTHR-313,ANTHR,ANTHR,313,"GENDER, LANGUAGE, & PIETY IN ARAB WORLD",I,1,"25/SP
24/SP
23/SP"
ANTHR-314,ANTHR,ANTHR,314,"ETHNICITY, GENDER, SEXUALITY CHINA",I,1,"25/SP
24/SP
22/SP
21/SP
19/SP
18/FA
18/SP
17/FA
17/SP
16/SP"
ANTHR-316W,ANTHR,ANTHR,316W,FEMINIST ETHNOGRAPHIES,I,1,19/FA
ANTHR-317,ANTHR,ANTHR,317,"BODY, SELF & HEALTH:CHINA & BIOMEDICAL",I,1,"25/SP
24/SP
23/SP
20/SP
19/SP"
ANTHR-318W,ANTHR,ANTHR,318W,ANTHROPOLOGY OF EDUCATION,I,1,"25/FA
25/SP
24/FA
24/SP
23/SP"
ANTHR-322,ANTHR,ANTHR,322,TALK IN ACTION,I,1,25/SP
ANTHR-323,ANTHR,ANTHR,323,VERBAL ART & PERFORMANCE,I,1,"18/SP
17/SP
14/SP
13/SP"
ANTHR-326,ANTHR,ANTHR,326,SEMIOTICS OF LIBERAL ARTS EDUCATION,I,1,"19/SP
18/SP
15/SP
14/SP"
ANTHR-328,ANTHR,ANTHR,328,"GENDER, RACE, IMMIGRATION GLOBAL WORLD",I,1,"14/SP
13/SP
12/SP
11/SP
10/SP"
ANTHR-329,ANTHR,ANTHR,329,GLOBALIZATION AND EDUCATION,I,1,"25/FA
24/FA
22/SP
21/SP
20/SP"
ANTHR-332,ANTHR,ANTHR,332,Citizenship in the Global World,I,1,"21/FA
21/SP
20/FA
20/SP"
ANTHR-336,ANTHR,ANTHR,336,EDUCATION PRACTICUM,I,1,"25/SP
24/SP"
ANTHR-339,ANTHR,ANTHR,339,BROWN VS WHAT: RACE & EDUCATION IN US,I,1,"21/SP
20/SP"
ANTHR-345,ANTHR,ANTHR,345,READING SEMINAR EDUCATION POLICY,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
23/SP
22/FA
22/SP"
ANTHR-347,ANTHR,ANTHR,347,VISUAL AND MEDIA ANTHROPOLOGY,I,1,"20/SP
19/SP"
ANTHR-348,ANTHR,ANTHR,348,ANTHROPOLOGY AUDIOVISUAL ENTERTAINMENT,I,1,"25/SP
24/SP"
ANTHR-353,ANTHR,ANTHR,353,NATIVE AMER ICONOLOGY,I,1,
ANTHR-354,ANTHR,ANTHR,354,ANTHROPOLOGY OF RELIGION,I,1,
ANTHR-358W,ANTHR,ANTHR,358W,HISTORY OF IDEAS,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
20/FA
19/FA
18/FA
17/FA
16/FA
15/FA
14/FA
13/FA
12/FA
11/FA
10/FA
09/FA
08/FA
07/FA
06/FA"
ANTHR-370,ANTHR,ANTHR,370,SOCIOLINGUISTICS OF GLOBALIZATION,I,1,"15/SP
14/SP"
ANTHR-375,ANTHR,ANTHR,375,ETHNOGRAPHIC METHODS,I,1,"25/SP
24/SP
23/SP
22/SP"
ANTHR-404,ANTHR,ANTHR,404,A FEMINIST POLITICAL ECONOMY OF HOUSING,I,1,25/SP
ANTHR-412,ANTHR,ANTHR,412,Food Justice in the Mohawk Valley,I,1,"25/SP
24/SP
23/SP"
ANTHR-500,ANTHR,ANTHR,500,SENIOR SEMINAR IN CULTURAL ANTHROPOLOGY,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
20/FA
19/FA
18/FA
17/FA
16/FA
15/FA"
ANTHR-501,ANTHR,ANTHR,501,SENIOR THESIS PROJECT IN CULTURAL ANTHR,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
23/SP
22/FA
22/SP
21/FA
21/SP
20/SP
19/SP
18/SP
17/SP
16/SP"
ARABC-108,ARABC,ARABC,108,FOOD CULTURES OF THE MIDDLE EAST,I,1,"25/FA
24/FA"
ARABC-110,ARABC,ARABC,110,MODERN ARABIC FICTION & FILM: AN INTRO,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA"
ARABC-113W,ARABC,ARABC,113W,THE CRIME NOVEL FROM THE GLOBAL SOUTH,I,1,"25/FA
24/FA"
ARABC-115,ARABC,ARABC,115,FIRST TERM ARABIC,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
20/FA
19/FA
18/FA
17/FA
16/FA
15/FA
14/FA"
ARABC-116,ARABC,ARABC,116,SECOND TERM ARABIC,I,1,"25/SP
24/SP
23/SP
22/SP
21/SP
20/SP
19/SP
18/SP
17/SP
16/SP
15/SP"
